,単語,出現数,割合（出現数/総数:37698）
0,月,886,2.35%
1,株式会社,836,2.218%
2,本社,474,1.257%
3,製品,435,1.154%
4,事業,422,1.119%
5,会社,419,1.111%
6,メーカー,393,1.042%
7,企業,370,0.981%
8,商品,358,0.95%
9,ブランド,304,0.806%
10,工場,263,0.698%
11,シリーズ,212,0.562%
12,社名,202,0.536%
13,ゲーム,201,0.533%
14,同社,186,0.493%
15,用品,185,0.491%
16,世界,166,0.44%
17,技術,160,0.424%
18,国内,159,0.422%
19,モデル,155,0.411%
20,グループ,152,0.403%
21,模型,142,0.377%
22,子会社,142,0.377%
23,機器,128,0.34%
24,玩具,127,0.337%
25,社長,120,0.318%
26,靴,119,0.316%
27,中心,114,0.302%
28,キャラクター,108,0.286%
29,業務,107,0.284%
30,業界,104,0.276%
31,部門,103,0.273%
32,市場,103,0.273%
33,工業,102,0.271%
34,店舗,98,0.26%
35,家具,88,0.233%
36,Co,88,0.233%
37,Ltd,87,0.231%
38,楽器,85,0.225%
39,シェア,83,0.22%
40,海外,83,0.22%
41,システム,82,0.218%
42,フィギュア,81,0.215%
43,産業,76,0.202%
44,全国,72,0.191%
45,取締役,72,0.191%
46,スポーツ,70,0.186%
47,音楽,70,0.186%
48,キット,69,0.183%
49,電子,68,0.18%
50,スケール,68,0.18%
51,時代,68,0.18%
52,人気,67,0.178%
53,ピアノ,67,0.178%
54,帆布,66,0.175%
55,CM,65,0.172%
56,法人,64,0.17%
57,プラモデル,63,0.167%
58,分野,63,0.167%
59,一般,63,0.167%
60,名称,62,0.164%
61,ミ,62,0.164%
62,海洋,62,0.164%
63,株式,61,0.162%
64,製靴,61,0.162%
65,番組,60,0.159%
66,商標,59,0.157%
67,体制,58,0.154%
68,文具,58,0.154%
69,専門,58,0.154%
70,家庭,56,0.149%
71,構造,56,0.149%
72,主力,55,0.146%
73,他社,54,0.143%
74,LTD,54,0.143%
75,価格,54,0.143%
76,作品,53,0.141%
77,情報,52,0.138%
78,部品,52,0.138%
79,自動車,52,0.138%
80,スポンサー,51,0.135%
81,形,51,0.135%
82,売上,51,0.135%
83,テレビ,51,0.135%
84,素材,50,0.133%
85,住宅,50,0.133%
86,株主,50,0.133%
87,CO,49,0.13%
88,年,49,0.13%
89,商,49,0.13%
90,大手,49,0.13%
91,製作所,48,0.127%
92,サイト,47,0.125%
93,レース,46,0.122%
94,資本,46,0.122%
95,アーケード,46,0.122%
96,製法,46,0.122%
97,チーム,44,0.117%
98,社員,44,0.117%
99,鉄道,44,0.117%
100,ソフト,43,0.114%
101,他,43,0.114%
102,ゴルフ,43,0.114%
103,トップ,42,0.111%
104,各種,42,0.111%
105,ホビー,41,0.109%
106,証券,41,0.109%
107,シューズ,41,0.109%
108,商号,40,0.106%
109,傘下,40,0.106%
110,エンジン,40,0.106%
111,ロク,40,0.106%
112,カー,39,0.103%
113,オリジナル,39,0.103%
114,前身,39,0.103%
115,C,39,0.103%
116,機械,38,0.101%
117,学校,38,0.101%
118,金,38,0.101%
119,PS,38,0.101%
120,マシン,37,0.098%
121,ライセンス,37,0.098%
122,ブーム,37,0.098%
123,ナイキ,37,0.098%
124,事務,36,0.095%
125,アニメ,36,0.095%
126,ロゴ,36,0.095%
127,ビジネス,36,0.095%
128,銃,36,0.095%
129,時点,35,0.093%
130,選手,35,0.093%
131,カラオケ,35,0.093%
132,間,34,0.09%
133,キッチン,34,0.09%
134,野球,34,0.09%
135,プラスチック,33,0.088%
136,グッズ,33,0.088%
137,ビル,33,0.088%
138,対象,33,0.088%
139,方式,33,0.088%
140,音源,33,0.088%
141,スタンダード,33,0.088%
142,底,33,0.088%
143,R,32,0.085%
144,名,32,0.085%
145,品質,32,0.085%
146,印,32,0.085%
147,拠点,32,0.085%
148,絵具,32,0.085%
149,剣道,32,0.085%
150,雑貨,32,0.085%
151,種類,32,0.085%
152,アクション,32,0.085%
153,プロ,31,0.082%
154,仕様,31,0.082%
155,所在地,31,0.082%
156,需要,31,0.082%
157,商店,31,0.082%
158,パッケージ,31,0.082%
159,特徴,31,0.082%
160,ホールディングス,31,0.082%
161,オフィス,30,0.08%
162,目的,30,0.08%
163,カード,30,0.08%
164,利益,30,0.08%
165,本格,30,0.08%
166,傘,30,0.08%
167,会長,30,0.08%
168,GT,29,0.077%
169,医療,29,0.077%
170,電動,29,0.077%
171,地域,29,0.077%
172,内容,29,0.077%
173,環境,29,0.077%
174,業績,29,0.077%
175,部分,29,0.077%
176,人形,29,0.077%
177,ファイル,29,0.077%
178,エア,28,0.074%
179,女性,28,0.074%
180,商事,28,0.074%
181,ステンレス,28,0.074%
182,持株,28,0.074%
183,ショールーム,27,0.072%
184,有限,27,0.072%
185,社内,27,0.072%
186,パーツ,27,0.072%
187,会員,27,0.072%
188,初代,27,0.072%
189,皮革,27,0.072%
190,通称,27,0.072%
191,写真,27,0.072%
192,センター,27,0.072%
193,規模,27,0.072%
194,機関,26,0.069%
195,ゲージ,26,0.069%
196,アミューズメント,26,0.069%
197,職人,26,0.069%
198,半導体,26,0.069%
199,地区,26,0.069%
200,OEM,26,0.069%
201,ヘルメット,26,0.069%
202,ガレージ,25,0.066%
203,最大手,25,0.066%
204,老舗,25,0.066%
205,Inc,25,0.066%
206,英文,25,0.066%
207,ショップ,25,0.066%
208,大型,25,0.066%
209,名前,25,0.066%
210,タイプ,25,0.066%
211,ボックス,25,0.066%
212,債務,25,0.066%
213,大会,25,0.066%
214,英語,25,0.066%
215,色,24,0.064%
216,性能,24,0.064%
217,本店,24,0.064%
218,力,24,0.064%
219,方法,24,0.064%
220,飛行機,24,0.064%
221,金属,24,0.064%
222,きっかけ,24,0.064%
223,武道,24,0.064%
224,赤字,24,0.064%
225,教室,24,0.064%
226,ビニール,24,0.064%
227,ドライバー,23,0.061%
228,カラー,23,0.061%
229,車両,23,0.061%
230,選手権,23,0.061%
231,一つ,23,0.061%
232,国際,23,0.061%
233,バス,23,0.061%
234,防具,23,0.061%
235,初期,23,0.061%
236,歌手,23,0.061%
237,ミニカー,22,0.058%
238,人,22,0.058%
239,状態,22,0.058%
240,ベース,22,0.058%
241,F,22,0.058%
242,車種,22,0.058%
243,事務所,22,0.058%
244,映像,22,0.058%
245,障害,22,0.058%
246,業者,22,0.058%
247,釣り,22,0.058%
248,水,22,0.058%
249,柔道,22,0.058%
250,インタラクティブ,22,0.058%
251,ラインナップ,22,0.058%
252,当社,22,0.058%
253,テック,22,0.058%
254,規格,22,0.058%
255,最初,22,0.058%
256,デジタル,22,0.058%
257,絵の具,22,0.058%
258,材料,22,0.058%
259,個人,21,0.056%
260,元,21,0.056%
261,セット,21,0.056%
262,ユーザー,21,0.056%
263,現地,21,0.056%
264,ライン,21,0.056%
265,筆頭,21,0.056%
266,セガゲームス,21,0.056%
267,PlayStation,21,0.056%
268,コンテンツ,21,0.056%
269,オリンピック,21,0.056%
270,繊維,21,0.056%
271,布,21,0.056%
272,東,21,0.056%
273,膜,21,0.056%
274,初,20,0.053%
275,機構,20,0.053%
276,Corporation,20,0.053%
277,各社,20,0.053%
278,組合,20,0.053%
279,小型,20,0.053%
280,ノウハウ,20,0.053%
281,本部,20,0.053%
282,支店,20,0.053%
283,K,20,0.053%
284,釣具,20,0.053%
285,国産,20,0.053%
286,国外,20,0.053%
287,戦略,20,0.053%
288,ペン,20,0.053%
289,最大,20,0.053%
290,パワー,20,0.053%
291,建材,20,0.053%
292,世代,20,0.053%
293,紳士,20,0.053%
294,ST,20,0.053%
295,虎,20,0.053%
296,紙,19,0.05%
297,唯一,19,0.05%
298,クラブ,19,0.05%
299,伝統,19,0.05%
300,パイロット,19,0.05%
301,木材,19,0.05%
302,顧客,19,0.05%
303,勘,19,0.05%
304,衣,19,0.05%
305,ケース,19,0.05%
306,版権,19,0.05%
307,ギター,19,0.05%
308,特,19,0.05%
309,タカラトミー,19,0.05%
310,雑誌,19,0.05%
311,足,19,0.05%
312,jpg,19,0.05%
313,アクリル,19,0.05%
314,オニツカ,19,0.05%
315,コンセプト,18,0.048%
316,スーパー,18,0.048%
317,シール,18,0.048%
318,科学,18,0.048%
319,ラジオ,18,0.048%
320,知名度,18,0.048%
321,電気,18,0.048%
322,地方,18,0.048%
323,実績,18,0.048%
324,テント,18,0.048%
325,話題,18,0.048%
326,D,18,0.048%
327,フォン,18,0.048%
328,タイトル,18,0.048%
329,理由,18,0.048%
330,ゴム,18,0.048%
331,内部,18,0.048%
332,木製,18,0.048%
333,シンセサイザー,18,0.048%
334,期間,18,0.048%
335,総会,18,0.048%
336,ブローニング,18,0.048%
337,書籍,17,0.045%
338,所在,17,0.045%
339,制度,17,0.045%
340,最高,17,0.045%
341,A,17,0.045%
342,スタッフ,17,0.045%
343,出身,17,0.045%
344,方針,17,0.045%
345,各地,17,0.045%
346,自動,17,0.045%
347,シート,17,0.045%
348,社会,17,0.045%
349,大戦,17,0.045%
350,食,17,0.045%
351,アイテム,17,0.045%
352,電車,17,0.045%
353,地方裁判所,17,0.045%
354,ジュエリー,17,0.045%
355,スキー,17,0.045%
356,樹脂,17,0.045%
357,サイズ,17,0.045%
358,婦人,17,0.045%
359,T,17,0.045%
360,ソフトウェア,16,0.042%
361,アパレル,16,0.042%
362,プロジェクト,16,0.042%
363,最終,16,0.042%
364,原型,16,0.042%
365,年間,16,0.042%
366,資材,16,0.042%
367,映画,16,0.042%
368,傾向,16,0.042%
369,委員,16,0.042%
370,コスト,16,0.042%
371,大学,16,0.042%
372,インク,16,0.042%
373,オートバイ,16,0.042%
374,軽量,16,0.042%
375,玩,16,0.042%
376,エコ,16,0.042%
377,団体,16,0.042%
378,文化,16,0.042%
379,アウトドア,16,0.042%
380,負債,16,0.042%
381,フリー,16,0.042%
382,機種,16,0.042%
383,裁判,16,0.042%
384,店,16,0.042%
385,タレント,16,0.042%
386,可動,16,0.042%
387,資金,16,0.042%
388,WD,16,0.042%
389,SCE,16,0.042%
390,下,15,0.04%
391,B,15,0.04%
392,工房,15,0.04%
393,世界中,15,0.04%
394,大人,15,0.04%
395,ガス,15,0.04%
396,椅子,15,0.04%
397,系列,15,0.04%
398,知的,15,0.04%
399,協会,15,0.04%
400,イベント,15,0.04%
401,問屋,15,0.04%
402,親会社,15,0.04%
403,器具,15,0.04%
404,強み,15,0.04%
405,食品,15,0.04%
406,オンライン,15,0.04%
407,ファン,15,0.04%
408,エンターテインメント,15,0.04%
409,興,15,0.04%
410,ハード,15,0.04%
411,ガン,15,0.04%
412,ベッド,15,0.04%
413,SM,15,0.04%
414,卸,14,0.037%
415,ボディ,14,0.037%
416,ポイント,14,0.037%
417,Z,14,0.037%
418,ロード,14,0.037%
419,クラス,14,0.037%
420,インテリア,14,0.037%
421,CORPORATION,14,0.037%
422,航空機,14,0.037%
423,市内,14,0.037%
424,ボールペン,14,0.037%
425,インターネット,14,0.037%
426,自分,14,0.037%
427,理念,14,0.037%
428,グラブ,14,0.037%
429,エース,14,0.037%
430,歴史,14,0.037%
431,標準,14,0.037%
432,パソコン,14,0.037%
433,ファッション,14,0.037%
434,財団,14,0.037%
435,文字,14,0.037%
436,サイド,14,0.037%
437,オフロード,14,0.037%
438,家電,14,0.037%
439,アナログ,14,0.037%
440,主体,14,0.037%
441,甲,14,0.037%
442,マル,14,0.037%
443,散弾,14,0.037%
444,ウェア,13,0.034%
445,レーシングカー,13,0.034%
446,メイン,13,0.034%
447,チャンピオン,13,0.034%
448,最新,13,0.034%
449,容器,13,0.034%
450,用途,13,0.034%
451,芯,13,0.034%
452,中古,13,0.034%
453,端末,13,0.034%
454,カタログ,13,0.034%
455,車椅子,13,0.034%
456,通販,13,0.034%
457,バー,13,0.034%
458,ハイ,13,0.034%
459,プレスト,13,0.034%
460,状況,13,0.034%
461,マイクロ,13,0.034%
462,一環,13,0.034%
463,同業,13,0.034%
464,研究所,13,0.034%
465,ボード,13,0.034%
466,商業,13,0.034%
467,電池,13,0.034%
468,フレーム,13,0.034%
469,万年筆,13,0.034%
470,バイオリン,13,0.034%
471,管楽器,13,0.034%
472,ファンド,13,0.034%
473,PC,13,0.034%
474,製菓,13,0.034%
475,竿,13,0.034%
476,アイデア,13,0.034%
477,売り上げ,13,0.034%
478,物流,13,0.034%
479,革,13,0.034%
480,アルバム,13,0.034%
481,ジグソーパズル,13,0.034%
482,杖,13,0.034%
483,グッドスマイルカンパニー,12,0.032%
484,通り,12,0.032%
485,新規,12,0.032%
486,シーズン,12,0.032%
487,権利,12,0.032%
488,漫画,12,0.032%
489,ハウス,12,0.032%
490,国内外,12,0.032%
491,レベル,12,0.032%
492,社,12,0.032%
493,X,12,0.032%
494,軸,12,0.032%
495,博物館,12,0.032%
496,カーボン,12,0.032%
497,チョーク,12,0.032%
498,文房具,12,0.032%
499,本体,12,0.032%
500,バンダイナムコホールディングス,12,0.032%
501,手,12,0.032%
502,直営店,12,0.032%
503,商会,12,0.032%
504,mm,12,0.032%
505,民事,12,0.032%
506,美術,12,0.032%
507,フィルム,12,0.032%
508,バンダイナムコエンターテインメント,12,0.032%
509,出典,12,0.032%
510,鉛筆,12,0.032%
511,合板,12,0.032%
512,メタル,12,0.032%
513,プラチナ,12,0.032%
514,同人,12,0.032%
515,教材,12,0.032%
516,円,12,0.032%
517,オルガン,12,0.032%
518,経済,12,0.032%
519,後継,12,0.032%
520,スター,12,0.032%
521,線香,12,0.032%
522,精,12,0.032%
523,男性,12,0.032%
524,コンピュータ,12,0.032%
525,子供,12,0.032%
526,倉庫,12,0.032%
527,レコード,12,0.032%
528,レーザー,12,0.032%
529,木型,12,0.032%
530,セメント,12,0.032%
531,単独,12,0.032%
532,銃器,12,0.032%
533,かばん,12,0.032%
534,鞄,12,0.032%
535,ハクキンカイロ,12,0.032%
536,カラ,12,0.032%
537,芸能,12,0.032%
538,がま,12,0.032%
539,バンダイナムコグループ,11,0.029%
540,基本,11,0.029%
541,耐久,11,0.029%
542,レーシングミク,11,0.029%
543,基準,11,0.029%
544,テーマ,11,0.029%
545,ロボット,11,0.029%
546,ピット,11,0.029%
547,コラボレーション,11,0.029%
548,複数,11,0.029%
549,精機,11,0.029%
550,ライブ,11,0.029%
551,カンパニー,11,0.029%
552,コーポレート,11,0.029%
553,海軍,11,0.029%
554,COMPANY,11,0.029%
555,コーポレーション,11,0.029%
556,ネット,11,0.029%
557,通常,11,0.029%
558,テニス,11,0.029%
559,艦船,11,0.029%
560,餌,11,0.029%
561,長男,11,0.029%
562,アフターサービス,11,0.029%
563,ボール,11,0.029%
564,取り扱い,11,0.029%
565,インデックス,11,0.029%
566,収益,11,0.029%
567,リゾート,11,0.029%
568,効率,11,0.029%
569,ネットワーク,11,0.029%
570,アプリ,11,0.029%
571,筐,11,0.029%
572,地裁,11,0.029%
573,プラス,11,0.029%
574,戦前,11,0.029%
575,百貨店,11,0.029%
576,姿勢,11,0.029%
577,作家,11,0.029%
578,台数,11,0.029%
579,データ,11,0.029%
580,音叉,11,0.029%
581,陸軍,11,0.029%
582,鍵盤,11,0.029%
583,景気,11,0.029%
584,新聞,11,0.029%
585,ユニフォーム,11,0.029%
586,世紀,11,0.029%
587,フルタ,11,0.029%
588,重点,11,0.029%
589,H,11,0.029%
590,針,11,0.029%
591,屋根,11,0.029%
592,桐,11,0.029%
593,岩,11,0.029%
594,互換,11,0.029%
595,フード・プラネット,11,0.029%
596,Company,10,0.027%
597,ランキング,10,0.027%
598,リング,10,0.027%
599,自身,10,0.027%
600,ボイラー,10,0.027%
601,黒,10,0.027%
602,大臣,10,0.027%
603,天然,10,0.027%
604,木,10,0.027%
605,綿,10,0.027%
606,建物,10,0.027%
607,デザイナー,10,0.027%
608,ベビー,10,0.027%
609,動物,10,0.027%
610,日本人,10,0.027%
611,無料,10,0.027%
612,マックス,10,0.027%
613,前半,10,0.027%
614,コレクション,10,0.027%
615,建,10,0.027%
616,不動産,10,0.027%
617,グランド,10,0.027%
618,用紙,10,0.027%
619,マット,10,0.027%
620,女子,10,0.027%
621,敷地,10,0.027%
622,ニーズ,10,0.027%
623,自体,10,0.027%
624,セガサミーグループ,10,0.027%
625,セガサミーホールディングス,10,0.027%
626,コラボ,10,0.027%
627,菓子,10,0.027%
628,ペット,10,0.027%
629,ラベル,10,0.027%
630,ディスプレイ,10,0.027%
631,エンタテインメント,10,0.027%
632,好評,10,0.027%
633,アーティスト,10,0.027%
634,コミック,10,0.027%
635,金融,10,0.027%
636,銘柄,10,0.027%
637,比率,10,0.027%
638,ミュージック,10,0.027%
639,アーチェリー,10,0.027%
640,磁気,10,0.027%
641,ユニット,10,0.027%
642,役割,10,0.027%
643,磯,10,0.027%
644,全国ネット,10,0.027%
645,理事,10,0.027%
646,チョコ,10,0.027%
647,エッグ,10,0.027%
648,ライバル,10,0.027%
649,軍靴,10,0.027%
650,チェーン,10,0.027%
651,春,10,0.027%
652,サブ,10,0.027%
653,サッカー,10,0.027%
654,上記,10,0.027%
655,カバン,10,0.027%
656,和,10,0.027%
657,陸上,10,0.027%
658,網,10,0.027%
659,Prologue,10,0.027%
660,折,10,0.027%
661,フロント,10,0.027%
662,Free,10,0.027%
663,Power,10,0.027%
664,がま口,10,0.027%
665,ナイト,10,0.027%
666,プロセス,9,0.024%
667,グッドスマイルレーシング,9,0.024%
668,初音,9,0.024%
669,アイドル,9,0.024%
670,エントラント,9,0.024%
671,夢,9,0.024%
672,メンテナンス,9,0.024%
673,号車,9,0.024%
674,皮切り,9,0.024%
675,メンバー,9,0.024%
676,化学,9,0.024%
677,モチーフ,9,0.024%
678,分社,9,0.024%
679,銀,9,0.024%
680,プロモーション,9,0.024%
681,鉄,9,0.024%
682,スカイ,9,0.024%
683,機材,9,0.024%
684,不満,9,0.024%
685,もと,9,0.024%
686,くじ,9,0.024%
687,ヘッド,9,0.024%
688,ターゲット,9,0.024%
689,スタイル,9,0.024%
690,用具,9,0.024%
691,連盟,9,0.024%
692,INC,9,0.024%
693,取扱,9,0.024%
694,総額,9,0.024%
695,目,9,0.024%
696,バンダイナムコアミューズメント,9,0.024%
697,株,9,0.024%
698,公園,9,0.024%
699,ドラム,9,0.024%
700,木工,9,0.024%
701,パネル,9,0.024%
702,役員,9,0.024%
703,責任,9,0.024%
704,被害,9,0.024%
705,M,9,0.024%
706,CD,9,0.024%
707,ウッド,9,0.024%
708,両社,9,0.024%
709,タンク,9,0.024%
710,フォーム,9,0.024%
