,単語,出現数,割合（出現数/総数:3397）
0,石油,217,6.388%
1,事業,83,2.443%
2,株式会社,81,2.384%
3,会社,81,2.384%
4,製品,68,2.002%
5,月,68,2.002%
6,エネルギー,65,1.913%
7,グループ,54,1.59%
8,潤滑,41,1.207%
9,企業,38,1.119%
10,ホールディングス,38,1.119%
11,ブランド,34,1.001%
12,社名,33,0.971%
13,子会社,33,0.971%
14,金属,33,0.971%
15,株式,28,0.824%
16,ガス,28,0.824%
17,化学,25,0.736%
18,燃料,25,0.736%
19,本社,24,0.707%
20,工場,23,0.677%
21,JX,22,0.648%
22,時代,22,0.648%
23,カード,22,0.648%
24,社長,21,0.618%
25,同社,20,0.589%
26,JXTG,19,0.559%
27,天然,19,0.559%
28,部門,18,0.53%
29,国内,18,0.53%
30,メーカー,17,0.5%
31,ENEOS,17,0.5%
32,CM,17,0.5%
33,サービスステーション,16,0.471%
34,原油,16,0.471%
35,灯油,16,0.471%
36,出身,15,0.442%
37,ガソリン,14,0.412%
38,持株,13,0.383%
39,ゆ,13,0.383%
40,SS,13,0.383%
41,拠点,12,0.353%
42,ガソリンスタンド,12,0.353%
43,傘下,12,0.353%
44,シェル,12,0.353%
45,産業,11,0.324%
46,Oil,11,0.324%
47,業務,11,0.324%
48,番組,11,0.324%
49,前身,10,0.294%
50,工業,10,0.294%
51,英文,10,0.294%
52,能力,10,0.294%
53,商号,10,0.294%
54,イオン,10,0.294%
55,中核,9,0.265%
56,当社,9,0.265%
57,せき,9,0.265%
58,スポンサー,9,0.265%
59,電子,9,0.265%
60,株主,9,0.265%
61,MORESCO,8,0.236%
62,Corporation,8,0.236%
63,名称,8,0.236%
64,会長,8,0.236%
65,形,8,0.236%
66,一つ,8,0.236%
67,油田,8,0.236%
68,軽油,8,0.236%
69,重油,8,0.236%
70,オイル,8,0.236%
71,ラジオ,8,0.236%
72,ファイル,8,0.236%
73,コスモ,8,0.236%
74,ノヴァテク,8,0.236%
75,自動車,7,0.206%
76,技術,7,0.206%
77,物流,7,0.206%
78,海外,7,0.206%
79,Ltd,7,0.206%
80,世界,7,0.206%
81,財閥,7,0.206%
82,系列,7,0.206%
83,コーポレート,7,0.206%
84,銀行,7,0.206%
85,アスファルト,7,0.206%
86,鉱業,7,0.206%
87,店舗,7,0.206%
88,鉱床,7,0.206%
89,中心,7,0.206%
90,分野,6,0.177%
91,各種,6,0.177%
92,グリース,6,0.177%
93,環境,6,0.177%
94,Co,6,0.177%
95,モービル,6,0.177%
96,売上,6,0.177%
97,委員,6,0.177%
98,英語,6,0.177%
99,電池,6,0.177%
100,電力,6,0.177%
101,ソング,6,0.177%
102,内容,6,0.177%
103,jpg,6,0.177%
104,合弁,6,0.177%
105,エコ,6,0.177%
106,防,6,0.177%
107,錆,6,0.177%
108,卸,5,0.147%
109,市場,5,0.147%
110,原料,5,0.147%
111,油剤,5,0.147%
112,ビル,5,0.147%
113,商標,5,0.147%
114,有限,5,0.147%
115,公司,5,0.147%
116,両社,5,0.147%
