,単語,出現数,割合（出現数/総数:1289）
0,牧場,48,3.724%
1,月,31,2.405%
2,株式会社,30,2.327%
3,事業,29,2.25%
4,企業,26,2.017%
5,食品,22,1.707%
6,農業,19,1.474%
7,会社,19,1.474%
8,きのこ,18,1.396%
9,本社,17,1.319%
10,キャラメル,17,1.319%
11,商品,16,1.241%
12,CM,12,0.931%
13,水産,11,0.853%
14,豚,11,0.853%
15,漁業,11,0.853%
16,法人,8,0.621%
17,ブランド,8,0.621%
18,牛,8,0.621%
19,テレビ,7,0.543%
20,バラ,7,0.543%
21,機構,7,0.543%
22,黒,6,0.465%
23,社名,6,0.465%
24,グループ,6,0.465%
25,チーズ,6,0.465%
26,船団,6,0.465%
27,Inc,5,0.388%
28,パイナップル,5,0.388%
29,キャッスル,5,0.388%
30,農園,5,0.388%
31,アイスクリーム,5,0.388%
32,雪国,5,0.388%
33,品種,5,0.388%
34,他,5,0.388%
35,組合,5,0.388%
36,部門,5,0.388%
37,メーカー,4,0.31%
38,花,4,0.31%
39,工場,4,0.31%
40,拠点,4,0.31%
41,コマーシャル,4,0.31%
42,缶詰,4,0.31%
43,マルハニチロ,4,0.31%
44,黒毛,4,0.31%
45,女性,4,0.31%
46,Company,3,0.233%
47,バナナ,3,0.233%
48,ハワイアン,3,0.233%
49,株式,3,0.233%
50,レタス,3,0.233%
51,大手,3,0.233%
52,製品,3,0.233%
53,知名度,3,0.233%
54,形,3,0.233%
55,苗,3,0.233%
56,種苗,3,0.233%
57,ホクト,3,0.233%
58,資材,3,0.233%
59,ソング,3,0.233%
60,唄,3,0.233%
61,基準,3,0.233%
62,話題,3,0.233%
63,同社,3,0.233%
64,社長,3,0.233%
65,状況,3,0.233%
66,南,3,0.233%
67,ホルスタイン,3,0.233%
68,脂,3,0.233%
69,和,3,0.233%
70,プロジェクト,3,0.233%
71,北洋,3,0.233%
72,有限,3,0.233%
73,漁船,3,0.233%
74,地域,3,0.233%
75,商店,3,0.233%
76,一つ,3,0.233%
77,専門,3,0.233%
78,みやげ,3,0.233%
79,恋人,3,0.233%
80,マンゴー,3,0.233%
81,店舗,3,0.233%
82,ホエー,3,0.233%
83,娘,3,0.233%
84,メンバー,3,0.233%
85,緑地,3,0.233%
86,水産物,3,0.233%
87,窯業,3,0.233%
88,ろ,2,0.155%
89,本店,2,0.155%
90,フード,2,0.155%
91,カンパニー,2,0.155%
92,野菜,2,0.155%
93,商標,2,0.155%
94,業者,2,0.155%
95,Dole,2,0.155%
96,農場,2,0.155%
97,Japan,2,0.155%
98,所在地,2,0.155%
99,町,2,0.155%
100,果汁,2,0.155%
101,ヴァンティアン,2,0.155%
102,技術,2,0.155%
103,世紀,2,0.155%
104,産業,2,0.155%
105,理念,2,0.155%
106,Co,2,0.155%
107,Ltd,2,0.155%
108,もやし,2,0.155%
109,内容,2,0.155%
110,値段,2,0.155%
111,事故,2,0.155%
112,Corporation,2,0.155%
113,メリット,2,0.155%
114,キャラクター,2,0.155%
115,業界,2,0.155%
116,一般,2,0.155%
117,センター,2,0.155%
118,売り場,2,0.155%
119,全国,2,0.155%
120,インターネット,2,0.155%
121,利益,2,0.155%
122,ブナピー,2,0.155%
123,菌,2,0.155%
124,活,2,0.155%
125,隣,2,0.155%
126,馬,2,0.155%
127,酪農,2,0.155%
128,力,2,0.155%
129,ガーンジィ,2,0.155%
130,モデル,2,0.155%
131,レストラン,2,0.155%
132,交通,2,0.155%
133,出身,2,0.155%
134,い,2,0.155%
135,かつお,2,0.155%
136,まぐろ,2,0.155%
137,もち,2,0.155%
138,養豚,2,0.155%
139,経済,2,0.155%
140,都市,2,0.155%
141,魯漁,2,0.155%
142,水揚げ,2,0.155%
143,鮭,2,0.155%
144,カニ,2,0.155%
145,子会社,2,0.155%
146,持株,2,0.155%
147,沖合,2,0.155%
148,底引網,2,0.155%
149,規模,2,0.155%
150,責任,2,0.155%
151,ショップ,2,0.155%
152,カフェ,2,0.155%
153,本人,2,0.155%
154,空港,2,0.155%
155,スペース,2,0.155%
156,中心,2,0.155%
157,ホット,2,0.155%
158,秋,2,0.155%
159,工房,2,0.155%
160,社員,2,0.155%
161,ポテトチップス,2,0.155%
162,農協,2,0.155%
163,イレブン,2,0.155%
164,ピザ,2,0.155%
165,ハロー,2,0.155%
166,カントリー,2,0.155%
167,園芸,2,0.155%
168,グリーン,2,0.155%
169,牛肉,2,0.155%
170,和牛,2,0.155%
171,肉質,2,0.155%
172,年間,2,0.155%
173,管内,2,0.155%
174,社団,2,0.155%
175,公社,2,0.155%
176,肉牛,2,0.155%
177,焼肉,2,0.155%
178,きらら,2,0.155%
179,オーガニックライフ,2,0.155%
180,いちご,2,0.155%
181,漁港,2,0.155%
182,老朽,2,0.155%
183,丸,1,0.078%
184,くし,1,0.078%
185,ょくひん,1,0.078%
186,蒲鉾,1,0.078%
187,はんぺん,1,0.078%
188,魚肉,1,0.078%
189,練り製品,1,0.078%
190,ぎやほんてん,1,0.078%
191,鰹節,1,0.078%
192,Food,1,0.078%
193,国籍,1,0.078%
194,通称,1,0.078%
195,果物,1,0.078%
196,名,1,0.078%
197,不動産,1,0.078%
198,分社,1,0.078%
199,サミュエル・ノースラップ・キャッスル,1,0.078%
200,エイモス・スター・クック,1,0.078%
201,商事,1,0.078%
202,ユニテリアン,1,0.078%
203,主義,1,0.078%
204,宣教師,1,0.078%
205,息子,1,0.078%
206,ジャメイカ・プレイン,1,0.078%
207,大学,1,0.078%
208,農学,1,0.078%
209,学士,1,0.078%
210,従兄,1,0.078%
211,大統領,1,0.078%
212,共和,1,0.078%
213,中央,1,0.078%
214,平野,1,0.078%
215,Hawaiian,1,0.078%
216,Pineapple,1,0.078%
217,新鋭,1,0.078%
218,機械,1,0.078%
219,Five,1,0.078%
220,Hawaii,1,0.078%
221,サトウキビ,1,0.078%
222,世界中,1,0.078%
223,Standard,1,0.078%
224,Fruit,1,0.078%
225,スタンフィルコ,1,0.078%
226,セロリ,1,0.078%
227,バッド,1,0.078%
228,Bud,1,0.078%
229,Antle,1,0.078%
230,Fresh,1,0.078%
231,Vegetables,1,0.078%
232,インク,1,0.078%
233,新,1,0.078%
234,エリソン,1,0.078%
235,青果物,1,0.078%
236,グローバル,1,0.078%
237,世界,1,0.078%
238,各地,1,0.078%
239,エリア,1,0.078%
240,International,1,0.078%
241,Holdings,1,0.078%
242,傘下,1,0.078%
243,彌生,1,0.078%
244,支社,1,0.078%
245,G,1,0.078%
246,K,1,0.078%
247,飲料,1,0.078%
248,合弁,1,0.078%
249,一連,1,0.078%
250,不祥事,1,0.078%
251,契機,1,0.078%
252,ロゴ,1,0.078%
253,ホールディングス,1,0.078%
254,コンサルタント,1,0.078%
255,農法,1,0.078%
256,英語,1,0.078%
257,et,1,0.078%
258,un,1,0.078%
259,仏語,1,0.078%
260,姿勢,1,0.078%
261,ゆき,1,0.078%
262,ぐにまいたけ,1,0.078%
263,Maitake,1,0.078%
264,タケ,1,0.078%
265,材料,1,0.078%
266,モヤシ,1,0.078%
267,納豆,1,0.078%
268,元,1,0.078%
269,平家,1,0.078%
270,ベース,1,0.078%
271,弾き語り,1,0.078%
272,コメディ,1,0.078%
273,異色,1,0.078%
274,最後,1,0.078%
275,部分,1,0.078%
276,革命,1,0.078%
277,使い勝手,1,0.078%
278,大震災,1,0.078%
279,原子力,1,0.078%
280,物質,1,0.078%
281,ホーブ,1,0.078%
282,イチゴ,1,0.078%
283,バイオ,1,0.078%
284,食用,1,0.078%
285,証券,1,0.078%
286,コード,1,0.078%
287,ガラス,1,0.078%
288,ポリプロピレン,1,0.078%
289,容器,1,0.078%
290,地震,1,0.078%
291,トップ,1,0.078%
292,研究所,1,0.078%
293,売り上げ,1,0.078%
294,古来,1,0.078%
295,時刻,1,0.078%
296,指針,1,0.078%
297,歌,1,0.078%
298,姿,1,0.078%
299,歌手,1,0.078%
300,オールスターズ,1,0.078%
301,名義,1,0.078%
302,キャンペーン,1,0.078%
303,CD,1,0.078%
304,音楽,1,0.078%
305,小型,1,0.078%
306,世代,1,0.078%
307,着メロ,1,0.078%
308,人気,1,0.078%
309,モーニングバード,1,0.078%
310,アンテナ,1,0.078%
311,スポンサー,1,0.078%
312,春,1,0.078%
313,主婦,1,0.078%
314,精,1,0.078%
315,潤,1,0.078%
316,シリーズ,1,0.078%
317,キノコ,1,0.078%
318,下品,1,0.078%
