,単語,出現数,割合（出現数/総数:6601）
0,株式会社,255,3.863%
1,メーカー,151,2.288%
2,本社,148,2.242%
3,月,112,1.697%
4,企業,102,1.545%
5,製品,99,1.5%
6,事業,90,1.363%
7,会社,90,1.363%
8,グループ,64,0.97%
9,工業,62,0.939%
10,機器,60,0.909%
11,部品,59,0.894%
12,金属,54,0.818%
13,社名,47,0.712%
14,アルミ,46,0.697%
15,工場,42,0.636%
16,同社,41,0.621%
17,シェア,39,0.591%
18,国内,38,0.576%
19,工具,38,0.576%
20,Co,37,0.561%
21,Ltd,37,0.561%
22,石油,36,0.545%
23,ブランド,36,0.545%
24,自動車,36,0.545%
25,CM,35,0.53%
26,技術,34,0.515%
27,中心,32,0.485%
28,子会社,32,0.485%
29,ガス,32,0.485%
30,海外,30,0.454%
31,給湯,29,0.439%
32,商品,28,0.424%
33,部門,27,0.409%
34,建材,27,0.409%
35,大手,27,0.409%
36,機械,24,0.364%
37,産業,23,0.348%
38,CO,23,0.348%
39,業務,22,0.333%
40,住宅,22,0.333%
41,家庭,21,0.318%
42,英文,20,0.303%
43,ヒーター,20,0.303%
44,一般,20,0.303%
45,業界,20,0.303%
46,事故,20,0.303%
47,LTD,20,0.303%
48,器具,19,0.288%
49,証券,18,0.273%
50,ばね,18,0.273%
51,刃物,18,0.273%
52,ファン,17,0.258%
53,ねじ,17,0.258%
54,ホールディングス,17,0.258%
55,持株,17,0.258%
56,材料,16,0.242%
57,スポンサー,16,0.242%
58,世界,16,0.242%
59,株式,16,0.242%
60,熱,15,0.227%
61,トップ,15,0.227%
62,各種,15,0.227%
63,市場,15,0.227%
64,株主,15,0.227%
65,製作所,15,0.227%
66,主力,15,0.227%
67,湯,14,0.212%
68,法人,14,0.212%
69,包丁,14,0.212%
70,橋梁,13,0.197%
71,テレビ,13,0.197%
72,全国,13,0.197%
73,用品,13,0.197%
74,道路,13,0.197%
75,シャッター,13,0.197%
76,Corporation,12,0.182%
77,金箔,12,0.182%
78,沸,12,0.182%
79,社長,12,0.182%
80,カミソリ,12,0.182%
81,アルミニウム,12,0.182%
82,バーナー,11,0.167%
83,環境,11,0.167%
84,ロゴ,11,0.167%
85,LIXIL,11,0.167%
86,機種,11,0.167%
87,商号,11,0.167%
88,ネジ,11,0.167%
89,モデル,11,0.167%
90,ストーブ,10,0.151%
91,板金,10,0.151%
92,缶,10,0.151%
93,システム,10,0.151%
94,ブラインド,10,0.151%
95,CORPORATION,10,0.151%
96,分野,10,0.151%
97,箔,10,0.151%
98,小型,10,0.151%
99,傘下,10,0.151%
100,ロボット,10,0.151%
101,専門,9,0.136%
102,名称,9,0.136%
103,ソーラー,9,0.136%
104,特徴,9,0.136%
105,ボルト,9,0.136%
106,品質,9,0.136%
107,サッシ,9,0.136%
108,マテリアル,9,0.136%
109,所在,9,0.136%
110,レンチ,9,0.136%
111,ファスナー,9,0.136%
112,ポット,8,0.121%
113,唯一,8,0.121%
114,樹脂,8,0.121%
115,屋根,8,0.121%
116,目的,8,0.121%
117,金物,8,0.121%
118,厨房,8,0.121%
119,社員,8,0.121%
120,筆頭,8,0.121%
121,売上,8,0.121%
122,商標,8,0.121%
123,エクステリア,8,0.121%
124,一つ,8,0.121%
125,拠点,8,0.121%
126,研究所,8,0.121%
127,形,8,0.121%
128,チタン,8,0.121%
129,半導体,8,0.121%
130,銘柄,8,0.121%
131,亜鉛,8,0.121%
132,自転車,8,0.121%
133,基準,8,0.121%
134,MIE,8,0.121%
135,瓦,8,0.121%
136,空気,7,0.106%
137,情報,7,0.106%
138,体制,7,0.106%
139,きん,7,0.106%
140,商店,7,0.106%
141,素材,7,0.106%
142,力,7,0.106%
143,合金,7,0.106%
144,主体,7,0.106%
145,フェザー,7,0.106%
146,番組,7,0.106%
147,資材,7,0.106%
148,スプリング,7,0.106%
149,取締役,7,0.106%
150,ドライバー,7,0.106%
151,方式,6,0.091%
152,シーズン,6,0.091%
153,業者,6,0.091%
154,太陽熱,6,0.091%
155,会員,6,0.091%
156,大学,6,0.091%
157,太陽光,6,0.091%
158,他,6,0.091%
159,空調,6,0.091%
160,穴,6,0.091%
161,OEM,6,0.091%
162,本体,6,0.091%
163,名,6,0.091%
164,さい,6,0.091%
165,他社,6,0.091%
166,資本,6,0.091%
167,両社,6,0.091%
168,社内,6,0.091%
169,親会社,6,0.091%
170,ステンレス,6,0.091%
171,Nitride,6,0.091%
172,テクノ,6,0.091%
173,水,6,0.091%
