,単語,出現数,割合（出現数/総数:2124）
0,保険,203,9.557%
1,月,113,5.32%
2,生命,74,3.484%
3,会社,73,3.437%
4,株式会社,66,3.107%
5,グループ,31,1.46%
6,ホールディングス,27,1.271%
7,不払い,27,1.271%
8,同社,26,1.224%
9,興亜,26,1.224%
10,企業,21,0.989%
11,海上,20,0.942%
12,持株,20,0.942%
13,傘下,19,0.895%
14,少額,18,0.847%
15,短期,18,0.847%
16,金融,18,0.847%
17,CM,17,0.8%
18,事業,16,0.753%
19,女子,15,0.706%
20,アクサ,15,0.706%
21,本社,13,0.612%
22,子会社,13,0.612%
23,法人,13,0.612%
24,商号,12,0.565%
25,マラソン,12,0.565%
26,ナイト,12,0.565%
27,社名,12,0.565%
28,株式,12,0.565%
29,キャラクター,11,0.518%
30,世界,11,0.518%
31,団体,11,0.518%
32,業務,11,0.518%
33,損保,11,0.518%
34,商品,10,0.471%
35,ライフ,8,0.377%
36,がん,8,0.377%
37,株主,8,0.377%
38,大会,7,0.33%
39,銀行,7,0.33%
40,金額,7,0.33%
41,業界,7,0.33%
42,最大,7,0.33%
43,当社,6,0.282%
44,厚生,6,0.282%
45,Life,6,0.282%
46,体制,6,0.282%
47,ビル,6,0.282%
48,部分,6,0.282%
49,顧客,6,0.282%
50,国際,6,0.282%
51,分野,6,0.282%
52,情報,6,0.282%
53,アヒル,6,0.282%
54,コマーシャル,6,0.282%
55,おい,6,0.282%
56,親会社,6,0.282%
57,ょうがくたんきほけん,5,0.235%
58,下,5,0.235%
59,Insurance,5,0.235%
60,相互,5,0.235%
61,スポンサー,5,0.235%
62,件数,5,0.235%
63,医療,5,0.235%
64,ファミリー,5,0.235%
65,ロゴ,5,0.235%
66,目的,5,0.235%
67,個人,5,0.235%
68,CD,5,0.235%
69,そん,5,0.235%
70,AD,5,0.235%
71,同和,5,0.235%
72,NKSJ,5,0.235%
73,行政,5,0.235%
74,ひまわり,5,0.235%
75,共済,4,0.188%
76,間,4,0.188%
77,資産,4,0.188%
78,形,4,0.188%
79,アトラクション,4,0.188%
80,陸上,4,0.188%
81,中心,4,0.188%
82,生保,4,0.188%
83,内容,4,0.188%
84,通称,4,0.188%
85,名称,4,0.188%
86,両社,4,0.188%
87,ねこ,4,0.188%
88,ダック,4,0.188%
89,スワン,4,0.188%
90,歌,4,0.188%
91,Co,4,0.188%
92,アクサグループ,4,0.188%
93,ニチダン,4,0.188%
94,自動車,4,0.188%
95,インシュアランスグループホールディングス,4,0.188%
96,比率,4,0.188%
97,あい,4,0.188%
98,ニッセイ,4,0.188%
99,社長,4,0.188%
100,エコ,4,0.188%
101,会長,4,0.188%
102,シンボルマーク,3,0.141%
103,Company,3,0.141%
104,初代,3,0.141%
105,国内,3,0.141%
106,出身,3,0.141%
