,単語,出現数,割合（出現数/総数:1656）
0,ゴム,70,4.227%
1,タイヤ,67,4.046%
2,株式会社,57,3.442%
3,製品,50,3.019%
4,メーカー,36,2.174%
5,本社,36,2.174%
6,自動車,30,1.812%
7,企業,26,1.57%
8,世界,26,1.57%
9,ブランド,25,1.51%
10,会社,25,1.51%
11,月,19,1.147%
12,工業,18,1.087%
13,F,17,1.027%
14,工場,15,0.906%
15,国内,15,0.906%
16,選手権,15,0.906%
17,同社,14,0.845%
18,子会社,13,0.785%
19,事業,13,0.785%
20,部品,12,0.725%
21,ベルト,12,0.725%
22,シェア,11,0.664%
23,グループ,11,0.664%
24,機器,10,0.604%
25,用品,10,0.604%
26,社名,10,0.604%
27,産業,9,0.543%
28,全日本,9,0.543%
29,Corporation,8,0.483%
30,スポーツ,8,0.483%
31,レース,8,0.483%
32,ワン,8,0.483%
33,ミシュラン,7,0.423%
34,シリーズ,7,0.423%
35,フォーミュラ,7,0.423%
36,衛生,6,0.362%
37,靴,6,0.362%
38,スポンサー,6,0.362%
39,ロゴ,6,0.362%
40,最大,5,0.302%
41,ホース,5,0.302%
42,大手,5,0.302%
43,Ltd,5,0.302%
44,技術,5,0.302%
45,医療,5,0.302%
46,TIRE,5,0.302%
47,中心,5,0.302%
48,ラバー,5,0.302%
49,資本,5,0.302%
50,市場,5,0.302%
51,グッドイヤーウイングフット,5,0.302%
52,コンドーム,5,0.302%
53,GT,5,0.302%
54,ロップ,4,0.242%
55,資材,4,0.242%
56,樹脂,4,0.242%
57,トップ,4,0.242%
58,業務,4,0.242%
59,チューブ,4,0.242%
60,オートバイ,4,0.242%
61,名称,4,0.242%
62,電池,4,0.242%
63,リーグ,4,0.242%
64,国際,4,0.242%
65,ネクセンタイヤ,4,0.242%
66,NEXEN,4,0.242%
67,自転車,4,0.242%
68,セイバーリング,4,0.242%
69,株式,4,0.242%
70,モータースポーツ,4,0.242%
71,シューズ,4,0.242%
72,スーパー,4,0.242%
73,建材,3,0.181%
74,ダンロップタイヤ,3,0.181%
75,本部,3,0.181%
76,海外,3,0.181%
77,所在,3,0.181%
78,シート,3,0.181%
79,商品,3,0.181%
80,手袋,3,0.181%
81,コンベア,3,0.181%
82,地域,3,0.181%
83,乾電池,3,0.181%
84,Rubber,3,0.181%
85,ボール,3,0.181%
86,社長,3,0.181%
87,アディダス,3,0.181%
88,ガス,3,0.181%
89,英文,3,0.181%
90,圧力,3,0.181%
91,コーポレーション,3,0.181%
92,拠点,3,0.181%
93,Tire,3,0.181%
94,法人,3,0.181%
95,ワールド,3,0.181%
96,気球,3,0.181%
97,Co,3,0.181%
98,看板,3,0.181%
99,薬局,3,0.181%
